BJ;EBDL;OB;PERSNR;WTT;WMM;GESCHL;GEBTT;GEBMM;GEBJJJJ;GEBLAND;WGEM;PAR;BSTAAT;FAMST;KONVFL;KONVFL_A;PAR_A;ALTER;ALT31;BERQ
2005;3;;;;5;1;;;1971;9;0;111;44;2; ; ;111;34;34;2
2005;1;;;;3;1;;;1953;4;1;413;4;1; ; ;413;51;52;1
2005;3;;;;10;1;;;1971;5;3;101;13;4; ; ;101;34;34;4
2005;4;;;;1;1;;;1964;8;4;101;8;2; ; ;101;40;41;1
2005;6;;;;1;1;;;1975;5;6;101;13;1; ; ;101;29;30;1
2005;9;;;;8;1;;;1972;6;9;101;15;2; ; ;101;33;33;3
2005;5;;;;3;1;;;1959;8;5;101;8;2; ; ;101;45;46;1
2005;3;;;;7;1;;;1970;5;3;111;11;2; ; ;111;35;35;3
2005;1;;;;6;1;;;1988;1;1;124;8;1; ; ;124;16;17;2
2005;6;;;;7;1;;;1924;1;0;111;561;2; ; ;111;80;81;3
2005;9;;;;4;1;;;1919;1;0;420;561;2; ; ;420;85;86;2
2005;3;;;;8;1;;;1966;8;3;101;8;2; ; ;101;39;39;3
2005;5;;;;3;1;;;1953;2;5;415;2;2; ; ;415;51;52;1
2005;4;;;;1;1;;;2000;1;4;711;11;1; ; ;101;4;5;1
2005;7;;;;1;1;;;1999;1;7;711;8;1; ; ;101;5;6;1
2005;9;;;;5;1;;;1971;9;9;101;15;2; ; ;101;34;34;2
2005;8;;;;6;1;;;1952;8;8;120;8;2; ; ;120;53;53;2
2005;4;;;;1;1;;;1969;5;4;101;13;1; ; ;101;35;36;1
2005;5;;;;3;1;;;1979;5;5;101;15;1; ; ;101;25;26;1
2005;9;;;;11;1;;;1998;4;0;124;4;1; ; ;124;7;7;4
2005;1;;;;6;1;;;1969;5;1;101;11;2; ; ;101;35;36;2
2005;2;;;;6;1;;;1960;5;2;101;15;2; ; ;101;45;45;2
2005;2;;;;5;1;;;1990;5;2;711;11;1; ; ;101;15;15;2
2005;6;;;;1;1;;;1961;9;6;101;200;2; ; ;101;43;44;1
2005;4;;;;1;1;;;1971;8;4;120;8;2; ; ;120;33;34;1
2005;8;;;;11;1;;;1979;1;8;120;8;1; ; ;120;26;26;4
2005;9;;;;12;1;;;1956;9;9;120;15;2; ; ;120;49;49;4
